"floor","room","axis","ordinat","timestamp"
"Level 1","139",310.1264859567343,267.11302536306584,19/05/21 13:33:15
"Level 1","139",309.99382855049237,267.24862998829457,19/05/21 13:33:15
"Level 1","139",309.79749975707716,267.44932057321466,19/05/21 13:33:15
"Level 1","139",309.6288373186808,267.6217301460899,19/05/21 13:33:15
"Level 1","139",309.4204060529236,267.8347920811876,19/05/21 13:33:15
"Level 1","139",309.2678790300246,267.9907077617622,19/05/21 13:33:15
"Level 1","139",309.2678790300246,267.9907077617622,19/05/21 13:33:15
"Level 1","139",308.93624941870894,268.3297051116365,19/05/21 13:33:15
"Level 1","139",308.74757728602697,268.5225689295585,19/05/21 13:33:15
"Level 1","139",308.54363394858245,268.7310432290757,19/05/21 13:33:15
"Level 1","139",308.54363394858245,268.7310432290757,19/05/21 13:33:16
"Level 1","139",308.2708473986444,269.00989021485447,19/05/21 13:33:16
"Level 1","139",308.2708473986444,269.00989021485447,19/05/21 13:33:16
"Level 1","139",308.07774551929936,269.20728219409904,19/05/21 13:33:16
"Level 1","139",307.9392883014707,269.34881548399034,19/05/21 13:33:16
"Level 1","139",307.80350749193644,269.4876129044417,19/05/21 13:33:16
"Level 1","139",307.80350749193644,269.4876129044417,19/05/21 13:33:16
"Level 1","139",307.45280353204373,269.8461083732943,19/05/21 13:33:16
"Level 1","139",307.45280353204373,269.8461083732943,19/05/21 13:33:16
"Level 1","139",307.2279303767285,270.0759774836168,19/05/21 13:33:16
"Level 1","139",307.04879121323665,270.2590965405717,19/05/21 13:33:17
"Level 1","139",307.04879121323665,270.2590965405717,19/05/21 13:33:17
"Level 1","139",306.6935604986884,270.6222193339437,19/05/21 13:33:17
"Level 1","139",306.6935604986884,270.6222193339437,19/05/21 13:33:17
"Level 1","139",306.36421140123707,270.95888550430334,19/05/21 13:33:17
"Level 1","139",306.183877415368,271.14322592872855,19/05/21 13:33:17
"Level 1","139",306.07351282471757,271.2560424640253,19/05/21 13:33:17
"Level 1","137",306.1640131779981,271.303916666667,19/05/21 13:33:17
"Level 1","137",306.44917080178976,271.303916666667,19/05/21 13:33:17
