"floor","room","axis","ordinat","timestamp"
"Level 1","152",353.8648087328014,255.55926452900823,19/05/21 13:33:15
"Level 1","152",353.8352692394318,255.72465176448216,19/05/21 13:33:15
"Level 1","152",353.7982178666352,255.93209689702644,19/05/21 13:33:15
"Level 1","152",353.74803768290366,256.2130482917947,19/05/21 13:33:15
"Level 1","152",353.71173700717685,256.41629038295645,19/05/21 13:33:15
"Level 1","152",353.65996712330076,256.7061422726942,19/05/21 13:33:15
"Level 1","152",353.623237940749,256.91178350991686,19/05/21 13:33:15
"Level 1","152",353.5813181499619,257.1464861916177,19/05/21 13:33:15
"Level 1","152",353.5298470168298,257.434665420317,19/05/21 13:33:15
"Level 1","152",353.4785664671592,257.72177760052546,19/05/21 13:33:15
"Level 1","152",353.44656160263486,257.90096808287984,19/05/21 13:33:16
"Level 1","152",353.4091501741047,258.1104291139921,19/05/21 13:33:16
"Level 1","152",353.3686290240792,258.33730101382776,19/05/21 13:33:16
"Level 1","152",353.33862828583017,258.5052706908667,19/05/21 13:33:16
"Level 1","152",353.30298042161843,258.7048577873263,19/05/21 13:33:16
"Level 1","152",353.2680878304419,258.9002162222528,19/05/21 13:33:16
"Level 1","152",353.21595201742144,259.1921168949136,19/05/21 13:33:16
"Level 1","152",353.17035275141,259.44742041183287,19/05/21 13:33:16
"Level 1","152",353.14099272747563,259.6118028245979,19/05/21 13:33:16
"Level 1","152",353.11020802427896,259.78416180492576,19/05/21 13:33:16
"Level 1","152",353.11020802427896,259.78416180492576,19/05/21 13:33:17
"Level 1","152",353.0660739284672,260.03126205153876,19/05/21 13:33:17
"Level 1","152",353.01859282062367,260.2971017213402,19/05/21 13:33:17
"Level 1","152",352.9793058562893,260.51706359882195,19/05/21 13:33:17
"Level 1","121",352.75513055810563,260.58841000000115,19/05/21 13:33:17
"Level 1","121",352.5278710494654,260.58841000000115,19/05/21 13:33:17
"Level 1","121",352.33093266639594,260.58841000000115,19/05/21 13:33:17
"Level 1","121",352.14268448646254,260.58841000000115,19/05/21 13:33:17
"Level 1","121",351.8604198846835,260.58841000000115,19/05/21 13:33:17
"Level 1","121",351.6714266676472,260.58841000000115,19/05/21 13:33:17
"Level 1","121",351.4519185350625,260.58841000000115,19/05/21 13:33:18
"Level 1","121",351.24633611402425,260.58841000000115,19/05/21 13:33:18
"Level 1","121",351.0413576309244,260.58841000000115,19/05/21 13:33:18
"Level 1","121",350.88981853478975,260.58841000000115,19/05/21 13:33:18
"Level 1","121",350.7371249482223,260.58841000000115,19/05/21 13:33:18
"Level 1","121",350.44813824522527,260.58841000000115,19/05/21 13:33:18
"Level 1","121",350.2223712217818,260.58841000000115,19/05/21 13:33:18
"Level 1","121",349.9332757028997,260.58841000000115,19/05/21 13:33:18
"Level 1","121",349.6606664409594,260.58841000000115,19/05/21 13:33:18
"Level 1","121",349.38713431826176,260.58841000000115,19/05/21 13:33:18
"Level 1","121",349.1076386477523,260.58841000000115,19/05/21 13:33:19
"Level 1","121",348.9259250808296,260.58841000000115,19/05/21 13:33:19
"Level 1","121",348.76705984164073,260.58841000000115,19/05/21 13:33:19
"Level 1","121",348.5458842098628,260.58841000000115,19/05/21 13:33:19
"Level 1","121",348.5458842098628,260.58841000000115,19/05/21 13:33:19
"Level 1","121",348.0046652639083,260.58841000000115,19/05/21 13:33:19
"Level 1","121",347.7109295584107,260.58841000000115,19/05/21 13:33:19
"Level 1","121",347.48307006527966,260.58841000000115,19/05/21 13:33:19
"Level 1","121",347.48307006527966,260.58841000000115,19/05/21 13:33:19
"Level 1","121",347.142203809057,260.58841000000115,19/05/21 13:33:19
"Level 1","121",347.142203809057,260.58841000000115,19/05/21 13:33:20
"Level 1","121",346.8865472620016,260.58841000000115,19/05/21 13:33:20
"Level 1","121",346.6544888578409,260.58841000000115,19/05/21 13:33:20
"Level 1","121",346.6544888578409,260.58841000000115,19/05/21 13:33:20
"Level 1","121",346.12156812062364,260.58841000000115,19/05/21 13:33:20
"Level 1","121",345.8907972187649,260.58841000000115,19/05/21 13:33:20
"Level 1","121",345.70568703781987,260.58841000000115,19/05/21 13:33:20
"Level 1","121",345.55360141215124,260.58841000000115,19/05/21 13:33:20
"Level 1","121",345.3207105072226,260.58841000000115,19/05/21 13:33:20
"Level 1","121",345.15940816573556,260.58841000000115,19/05/21 13:33:20
"Level 1","121",345.0083748454238,260.58841000000115,19/05/21 13:33:21
"Level 1","121",344.7905542554938,260.58841000000115,19/05/21 13:33:21
"Level 1","121",344.5386863449316,260.58841000000115,19/05/21 13:33:21
"Level 1","121",344.5386863449316,260.58841000000115,19/05/21 13:33:21
"Level 1","121",344.08101543435544,260.58841000000115,19/05/21 13:33:21
"Level 1","121",343.81666048820165,260.58841000000115,19/05/21 13:33:21
"Level 1","121",343.81666048820165,260.58841000000115,19/05/21 13:33:21
"Level 1","121",343.3633400039427,260.58841000000115,19/05/21 13:33:21
"Level 1","121",343.0686609239384,260.58841000000115,19/05/21 13:33:21
"Level 1","121",342.8462911485959,260.58841000000115,19/05/21 13:33:22
"Level 1","121",342.68722863703704,260.58841000000115,19/05/21 13:33:22
"Level 1","121",342.68722863703704,260.58841000000115,19/05/21 13:33:22
"Level 1","121",342.24396972646724,260.58841000000115,19/05/21 13:33:22
"Level 1","121",342.24396972646724,260.58841000000115,19/05/21 13:33:22
"Level 1","121",341.9593502369273,260.58841000000115,19/05/21 13:33:22
"Level 1","121",341.765455141419,260.58841000000115,19/05/21 13:33:22
"Level 1","121",341.765455141419,260.58841000000115,19/05/21 13:33:22
"Level 1","121",341.3920949612478,260.58841000000115,19/05/21 13:33:22
"Level 1","121",341.3920949612478,260.58841000000115,19/05/21 13:33:22
"Level 1","121",340.88534378650667,260.58841000000115,19/05/21 13:33:23
"Level 1","121",340.88534378650667,260.58841000000115,19/05/21 13:33:23
"Level 1","121",340.5481886671279,260.58841000000115,19/05/21 13:33:23
"Level 1","121",340.5481886671279,260.58841000000115,19/05/21 13:33:23
"Level 1","121",340.32810159598245,260.58841000000115,19/05/21 13:33:23
"Level 1","121",340.06997928102606,260.58841000000115,19/05/21 13:33:23
"Level 1","121",339.913216216558,260.58841000000115,19/05/21 13:33:23
"Level 1","121",339.6740763647567,260.58841000000115,19/05/21 13:33:23
"Level 1","121",339.44372162885753,260.58841000000115,19/05/21 13:33:23
"Level 1","121",339.44372162885753,260.58841000000115,19/05/21 13:33:23
"Level 1","121",339.2559459460051,260.58841000000115,19/05/21 13:33:24
"Level 1","121",339.0836348694649,260.58841000000115,19/05/21 13:33:24
"Level 1","121",338.91457665387225,260.58841000000115,19/05/21 13:33:24
"Level 1","121",338.65104103598014,260.58841000000115,19/05/21 13:33:24
"Level 1","121",338.46819240705366,260.58841000000115,19/05/21 13:33:24
"Level 1","121",338.1947094014945,260.58841000000115,19/05/21 13:33:24
"Level 1","121",337.97527463807916,260.58841000000115,19/05/21 13:33:24
"Level 1","121",337.97527463807916,260.58841000000115,19/05/21 13:33:24
"Level 1","121",337.7746228022202,260.58841000000115,19/05/21 13:33:24
"Level 1","121",337.5276985034317,260.58841000000115,19/05/21 13:33:24
"Level 1","121",337.11999210188986,260.58841000000115,19/05/21 13:33:25
"Level 1","121",336.8261033703537,260.58841000000115,19/05/21 13:33:25
"Level 1","121",336.8261033703537,260.58841000000115,19/05/21 13:33:25
"Level 1","121",336.3210889915513,260.58841000000115,19/05/21 13:33:25
"Level 1","121",336.3210889915513,260.58841000000115,19/05/21 13:33:25
"Level 1","121",336.1369787102694,260.58841000000115,19/05/21 13:33:25
"Level 1","121",335.9117155474645,260.58841000000115,19/05/21 13:33:25
"Level 1","121",335.677180728472,260.58841000000115,19/05/21 13:33:25
"Level 1","121",335.1861916206818,260.58841000000115,19/05/21 13:33:25
"Level 1","121",335.1861916206818,260.58841000000115,19/05/21 13:33:25
"Level 1","121",334.83255096178556,260.58841000000115,19/05/21 13:33:26
"Level 1","121",334.6734317436908,260.58841000000115,19/05/21 13:33:26
"Level 1","121",334.51634977553914,260.58841000000115,19/05/21 13:33:26
"Level 1","121",334.51634977553914,260.58841000000115,19/05/21 13:33:26
"Level 1","121",334.05309037318625,260.58841000000115,19/05/21 13:33:26
"Level 1","121",333.89707775908295,260.58841000000115,19/05/21 13:33:26
"Level 1","121",333.71618325306736,260.58841000000115,19/05/21 13:33:26
"Level 1","121",333.71618325306736,260.58841000000115,19/05/21 13:33:26
"Level 1","121",333.4234423880784,260.58841000000115,19/05/21 13:33:26
"Level 1","121",332.9667113842817,260.58841000000115,19/05/21 13:33:26
"Level 1","121",332.9667113842817,260.58841000000115,19/05/21 13:33:27
"Level 1","121",332.68070223974274,260.58841000000115,19/05/21 13:33:27
"Level 1","121",332.2426330578595,260.58841000000115,19/05/21 13:33:27
"Level 1","121",332.06036300954594,260.58841000000115,19/05/21 13:33:27
"Level 1","121",332.06036300954594,260.58841000000115,19/05/21 13:33:27
"Level 1","121",331.6993034187184,260.5884100000011,19/05/21 13:33:27
"Level 1","121",331.6993034187184,260.5884100000011,19/05/21 13:33:27
"Level 1","121",331.2260040079329,260.58841000000103,19/05/21 13:33:27
"Level 1","121",331.0663796697436,260.588410000001,19/05/21 13:33:27
"Level 1","143",330.9500930557822,260.52668390646966,19/05/21 13:33:27
"Level 1","143",330.9500930557822,260.52668390646966,19/05/21 13:33:28
"Level 1","143",330.8499852390679,259.967987056493,19/05/21 13:33:28
"Level 1","143",330.8499852390679,259.967987056493,19/05/21 13:33:28
"Level 1","143",330.77432376507414,259.54572405473823,19/05/21 13:33:28
"Level 1","143",330.77432376507414,259.54572405473823,19/05/21 13:33:28
"Level 1","143",330.6771033712992,259.0031417715727,19/05/21 13:33:28
"Level 1","143",330.6399473058634,258.7957755798221,19/05/21 13:33:28
"Level 1","143",330.6399473058634,258.7957755798221,19/05/21 13:33:28
"Level 1","143",330.5502732552892,258.29530907056414,19/05/21 13:33:28
"Level 1","143",330.5502732552892,258.29530907056414,19/05/21 13:33:28
"Level 1","143",330.46771947325686,257.8345804332915,19/05/21 13:33:29
"Level 1","143",330.42487066194195,257.59544330401815,19/05/21 13:33:29
"Level 1","143",330.42487066194195,257.59544330401815,19/05/21 13:33:29
"Level 1","143",330.33640403576294,257.1017153715097,19/05/21 13:33:29
"Level 1","143",330.33640403576294,257.1017153715097,19/05/21 13:33:29
"Level 1","143",330.2703421075626,256.733026967344,19/05/21 13:33:29
"Level 1","143",330.23456202324405,256.53334005920055,19/05/21 13:33:29
"Level 1","143",330.1855773304272,256.25995887407316,19/05/21 13:33:29
"Level 1","143",330.1855773304272,256.25995887407316,19/05/21 13:33:29
