"floor","room","axis","ordinat","timestamp"
"Level 2","212",347.354417617356,271.12955924629466,19/05/21 13:33:15
"Level 2","212",347.1900852957299,271.0699338708265,19/05/21 13:33:15
"Level 2","212",347.04768880441475,271.01826756333446,19/05/21 13:33:15
"Level 2","212",346.85044377086314,270.9467003325647,19/05/21 13:33:15
"Level 2","212",346.67289455074905,270.88227941519057,19/05/21 13:33:15
"Level 2","212",346.4731676956457,270.80981169484943,19/05/21 13:33:15
"Level 2","212",346.27777660778105,270.7389171388559,19/05/21 13:33:15
"Level 2","212",346.00776655064965,270.6409482738309,19/05/21 13:33:15
"Level 2","212",345.73603003477024,270.54235299064254,19/05/21 13:33:15
"Level 2","212",345.5302853629282,270.4677018009815,19/05/21 13:33:15
"Level 2","212",345.2992280665865,270.38386632715196,19/05/21 13:33:16
"Level 2","212",345.1157182223583,270.3172826918942,19/05/21 13:33:16
"Level 2","212",344.9204278381659,270.24642467463036,19/05/21 13:33:16
"Level 2","212",344.7227285277073,270.1746926166929,19/05/21 13:33:16
"Level 2","212",344.53109300514683,270.1051607079811,19/05/21 13:33:16
"Level 2","212",344.33792243606985,270.03507183199713,19/05/21 13:33:16
"Level 2","202",344.2443482313273,270.2201598396207,19/05/21 13:33:16
"Level 2","202",344.1897419637442,270.4567073241332,19/05/21 13:33:16
"Level 2","202",344.1517248742098,270.6213925754035,19/05/21 13:33:16
"Level 2","202",344.1105174709969,270.7998978643514,19/05/21 13:33:16
"Level 2","202",344.07475021458066,270.9548371214668,19/05/21 13:33:17
"Level 2","202",344.0163821875844,271.20768007472145,19/05/21 13:33:17
"Level 2","202",343.958659223451,271.45772869676995,19/05/21 13:33:17
"Level 2","202",343.9135886549779,271.65296873183786,19/05/21 13:33:17
"Level 2","202",343.86930880719314,271.844783464316,19/05/21 13:33:17
"Level 2","202",343.86930880719314,271.844783464316,19/05/21 13:33:17
"Level 2","202",343.815406489188,272.0782815277775,19/05/21 13:33:17
"Level 2","202",343.77868345968824,272.2373610737037,19/05/21 13:33:17
"Level 2","202",343.7221992632611,272.48204350982184,19/05/21 13:33:17
"Level 2","202",343.6631679362341,272.73775979540034,19/05/21 13:33:17
"Level 2","202",343.6026098105824,273.0000899806287,19/05/21 13:33:18
"Level 2","202",343.5579197311379,273.19368178507096,19/05/21 13:33:18
"Level 2","202",343.49742913342965,273.4557194477397,19/05/21 13:33:18
"Level 2","202",343.4612157352563,273.61259133484526,19/05/21 13:33:18
"Level 2","202",343.40638898053703,273.8500939419058,19/05/21 13:33:18
"Level 2","202",343.36170485915784,274.0436599367581,19/05/21 13:33:18
"Level 2","202",343.31373026099703,274.25147986325584,19/05/21 13:33:18
"Level 2","202",343.2635571687915,274.4688233894978,19/05/21 13:33:18
"Level 2","202",343.20671393664986,274.715061123183,19/05/21 13:33:18
"Level 2","202",343.15801962893744,274.92599874095583,19/05/21 13:33:18
"Level 2","202",343.1238351933667,275.0740814172061,19/05/21 13:33:19
"Level 2","202",343.0630167224738,275.3375393852813,19/05/21 13:33:19
"Level 2","202",342.996191061504,275.62701974537396,19/05/21 13:33:19
"Level 2","202",342.93525612314266,275.89098223587683,19/05/21 13:33:19
"Level 2","202",342.8841259865811,276.1124715579222,19/05/21 13:33:19
"Level 2","202",342.8398790186709,276.3041438589184,19/05/21 13:33:19
"Level 2","202",342.797153156533,276.48922692098574,19/05/21 13:33:19
"Level 2","202",342.75657386315146,276.66501131712823,19/05/21 13:33:19
"Level 2","202",342.70274513683927,276.8981905906299,19/05/21 13:33:19
"Level 2","202",342.6496978617132,277.1279847158596,19/05/21 13:33:19
"Level 2","202",342.58952535511133,277.38864444785514,19/05/21 13:33:20
"Level 2","202",342.53211404483756,277.63734302457357,19/05/21 13:33:20
"Level 2","202",342.46764891168544,277.91659787499333,19/05/21 13:33:20
"Level 2","202",342.43230920280917,278.0696850499292,19/05/21 13:33:20
"Level 2","202",342.3776328214141,278.30653625865824,19/05/21 13:33:20
"Level 2","202",342.32803301291284,278.5213963919832,19/05/21 13:33:20
"Level 2","202",342.28069100995407,278.7264759956136,19/05/21 13:33:20
"Level 2","202",342.2402652305978,278.90159538830284,19/05/21 13:33:20
"Level 2","202",342.20458875302785,279.05614140287145,19/05/21 13:33:20
"Level 2","202",342.1666581295932,279.2204520938705,19/05/21 13:33:20
"Level 2","202",342.11798368557794,279.43130366460514,19/05/21 13:33:21
"Level 2","202",342.07720046020967,279.60797146847005,19/05/21 13:33:21
"Level 2","202",342.04052194028554,279.76685820451166,19/05/21 13:33:21
"Level 2","202",341.9736257945646,280.05664389568324,19/05/21 13:33:21
"Level 2","202",341.91493160761974,280.3108997328211,19/05/21 13:33:21
"Level 2","202",341.8557266794046,280.5673680369169,19/05/21 13:33:21
