"floor","room","axis","ordinat","timestamp"
"Level 1","153",358.8430192328431,256.9899531433595,19/05/21 13:33:15
"Level 1","153",358.9984047864661,257.1050342322241,19/05/21 13:33:15
"Level 1","153",359.220623677304,257.2696131864939,19/05/21 13:33:15
"Level 1","153",359.38518663517016,257.39149121142265,19/05/21 13:33:15
"Level 1","153",359.52115357196,257.49219055425425,19/05/21 13:33:15
"Level 1","153",359.68166349528406,257.6110668353436,19/05/21 13:33:15
"Level 1","153",359.8984173026491,257.77159825918267,19/05/21 13:33:15
"Level 1","153",360.13805728609543,257.94907956029135,19/05/21 13:33:15
"Level 1","153",360.2634303587342,258.04193291362543,19/05/21 13:33:15
"Level 1","153",360.40194027521983,258.1445156289169,19/05/21 13:33:15
"Level 1","153",360.5771517772955,258.27428014029095,19/05/21 13:33:16
"Level 1","153",360.71350544099425,258.37526589941245,19/05/21 13:33:16
"Level 1","153",360.91417045454455,258.5238816987449,19/05/21 13:33:16
"Level 1","153",361.1072376515704,258.6668704305783,19/05/21 13:33:16
"Level 1","153",361.3265000813358,258.82925978130083,19/05/21 13:33:16
"Level 1","153",361.4752279203294,258.9394100575446,19/05/21 13:33:16
"Level 1","153",361.60667611972434,259.03676274936794,19/05/21 13:33:16
"Level 1","153",361.74656563410235,259.1403672174797,19/05/21 13:33:16
"Level 1","153",361.8769728605584,259.2369489476757,19/05/21 13:33:16
"Level 1","153",362.00471858094346,259.33155952283494,19/05/21 13:33:16
"Level 1","153",362.19991875626124,259.47612797336564,19/05/21 13:33:17
"Level 1","153",362.41266458200676,259.63369102029856,19/05/21 13:33:17
"Level 1","153",362.6459911236681,259.8064964829,19/05/21 13:33:17
"Level 1","153",362.85721890612075,259.9629352420789,19/05/21 13:33:17
"Level 1","153",362.9802155903399,260.0540286031839,19/05/21 13:33:17
"Level 1","153",363.11927587613667,260.1570189310116,19/05/21 13:33:17
"Level 1","153",363.2730906574904,260.27093668017767,19/05/21 13:33:17
