"itemId","globalId","name","firstPartitionGlobalId","secondPartitionGlobalId ","accessRule","x","y"
"896","AP_124_to_125","AP_124_to_125","124","125","[]","338.7714583333335","276.6209583333335"
"897","AP_124_to_123","AP_124_to_123","124","123","[]","338.7714583333335","272.3876250000002"
"909","5a524ea2-c868-4368-9f25-baa30e953810","926_and_927","219A","219B","[]","375.41812500000015","270.09512500000017"
"910","f9cb9687-d9d8-4118-8ca3-1574ad006123","926_and_928","219A","219C","[]","373.9047916666668","271.3042916666668"
"911","555685fa-b1a8-4e3b-b3e3-94e98c199af6","926_and_929","219A","219D","[]","372.3914583333335","270.6859583333335"
"912","efae99ab-bdde-4e7a-a9de-26e96473da6b","927_and_928","219B","219C","[]","376.9914583333335","271.3042916666668"
"913","256b6f29-9249-4797-b589-e44702c41c2a","928_and_929","219C","219D","[]","372.3914583333335","276.70429166666685"
"823","1h7qyFpbf0qggP_pQnt_yp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190617","202D","230","[]","341.2432966666668","285.9861200000005"
"824","1h7qyFpbf0qggP_pQnt_kO","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191538","202C","232","[]","341.2432966666668","277.75758333333386"
"840","1h7qyFpbf0qggP_pQnt_zR","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190705","202A","224","[]","344.29100500000015","272.8231033333337"
"856","1h7qyFpbf0qggP_pQnt_zc","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190668","202C","231","[]","341.2432966666668","283.9211200000005"
"860","1h7qyFpbf0qggP_pQnt_ws","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190748","202B","212","[]","344.29100500000015","269.8150833333337"
"883","1h7qyFpbf0qggP_pQnt_$4","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190574","202D","226","[]","344.291005","286.25475000000046"
"886","1h7qyFpbf0qggP_pQnt_1D","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190439","202D","228","[]","344.291005","292.5624166666671"
"914","91427671-3010-422a-b371-a3abfef4d92f","930_and_931","202A","202B","[]","342.5131250000002","272.1809583333335"
"915","e09aed34-d657-4439-911a-caef163ebbbc","930_and_932","202A","202C","[]","342.76729166666684","276.6209583333335"
"916","543c6e6b-fc5e-4087-9c2b-0d71fdbeddd7","932_and_933","202C","202D","[]","342.76729166666684","285.10762500000016"
"809","1h7qyFpbf0qggP_pQnt_sR","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191025","229B","235","[]","334.358005","293.6982500000005"
"812","1h7qyFpbf0qggP_pQnt_qY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191112","229B","236","[]","323.3710466666668","293.6982500000005"
"917","de8aada6-ec36-432b-b80c-9c45575e544b","934_and_935","229A","229B","[]","339.18979166666685","296.84845833333344"
"802","1h7qyFpbf0qggP_pQnt_rV","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191221","201C","207","[]","323.3710466666668","268.6792500000003"
"807","1h7qyFpbf0qggP_pQnt_vQ","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190960","201C","209","[]","335.0753300000002","268.6792500000003"
"808","06njXbG3HC4RydTXssDq$e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:214056","201E","215","[]","353.42713","268.885916666667"
"837","1h7qyFpbf0qggP_pQnt_Gm","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189338","201A","S201","[]","305.65708333333333","261.4383750000005"
"918","26a467d9-e3dd-4add-a116-b0b44a7a496c","936_and_937","201A","201B","[]","310.75979166666673","267.40929166666683"
"919","65221ac0-9dcd-4779-9ea1-e71d1fdea3d9","937_and_938","201B","201C","[]","323.13729166666684","267.40929166666683"
"920","81d096e4-f69b-4cb2-9cb9-c6f768c942e9","938_and_939","201C","201D","[]","335.51479166666684","267.40929166666683"
"921","776969d2-da5c-491c-bdf5-389e0c39a584","939_and_940","201D","201E","[]","347.89229166666684","267.40929166666683"
"922","5f56ee04-8a7c-4c5f-bf39-8b0af5324fd0","940_and_941","201E","201F","[]","360.26979166666683","267.40929166666683"
"819","1h7qyFpbf0qggP_pQnt_3s","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190300","223B","222","[]","358.68462999999986","283.2400800000003"
"852","1h7qyFpbf0qggP_pQnt_4u","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190098","223A","220","[]","358.68462999999986","276.5934133333337"
"876","1h7qyFpbf0qggP_pQnt_1e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190402","223B","227","[]","356.14463","283.65117666666714"
"882","1h7qyFpbf0qggP_pQnt_0z","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190359","223B","225","[]","356.14463","281.58617666666714"
"923","782ac661-839a-4b4e-8d21-228157bafac3","942_and_943","223A","223B","[]","357.4147916666668","277.9834583333335"
"803","1h7qyFpbf0qggP_pQnt_qr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191135","237A","234","[]","322.4418800000002","283.113041666667"
"814","1h7qyFpbf0qggP_pQnt_pi","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191302","237A","205","[]","321.3060466666668","277.40251333333384"
"822","1h7qyFpbf0qggP_pQnt_ro","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191192","237A","233","[]","322.2352133333335","281.0480416666672"
"924","03877dc5-9c2f-48ac-866f-5f0cc3bb534c","944_and_945","237A","237B","[]","305.6314583333334","277.40262500000017"
"892","AP_221_to_223","AP_221_to_223","221B","223B","[]","357.4147916666668","287.28762500000016"
"893","AP_221_to_219","AP_221_to_219","221A","219C","[]","374.3339583333335","282.3109583333335"
"894","AP_221_to_229","AP_221_to_229","221B","229A","[]","356.0414583333335","296.84845833333344"
"925","afed6d81-553f-4dfe-9de5-7214ea5a7c2f","946_and_947","221A","221B","[]","364.94979166666684","293.69512500000013"
"790","1h7qyFpbf0qggP_pQnt_66","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189996","203C","219B","[]","377.5356666666668","263.9323333333338"
"797","1h7qyFpbf0qggP_pQnt_Ac","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189708","203A","213","[]","342.8051516666668","259.159541666667"
"800","1h7qyFpbf0qggP_pQnt_Di","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189638","203A","210","[]","330.61575000000016","259.159541666667"
"804","1h7qyFpbf0qggP_pQnt_Ct","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189597","203A","208","[]","328.55075000000016","259.159541666667"
"820","1h7qyFpbf0qggP_pQnt_6x","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189969","203C","217","[]","370.77791666666684","263.9323333333338"
"829","1h7qyFpbf0qggP_pQnt_8l","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189829","203C","218","[]","374.28222500000015","263.9323333333338"
"830","1h7qyFpbf0qggP_pQnt_FG","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189562","203A","206","[]","319.8630833333335","259.159541666667"
"851","1h7qyFpbf0qggP_pQnt_7r","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190047","203C","S202","[]","378.5650833333335","261.99358333333385"
"853","1h7qyFpbf0qggP_pQnt_Ft","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189533","203A","204","[]","317.7980833333335","259.159541666667"
"857","1h7qyFpbf0qggP_pQnt_AF","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189733","203B","214","[]","352.93475","259.15954166666717"
"868","1h7qyFpbf0qggP_pQnt_DD","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189671","203A","211","[]","340.74015166666686","259.159541666667"
"888","1h7qyFpbf0qggP_pQnt_B8","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189794","203B","216","[]","354.99975","259.15954166666717"
"926","3666356a-cedd-4746-8d60-b7aa07dae2a4","948_and_949","203A","203B","[]","344.90812500000015","249.69012500000017"
"927","396895b8-44e2-4c6b-a1ec-82eb4ca051d2","949_and_950","203B","203C","[]","360.26979166666683","249.69012500000017"
"794","2N3oFtM8X6lO2dN1$77xm_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187736","143B","149","[]","331.7285416666667","252.3623750000005"
"811","2N3oFtM8X6lO2dN1$77x$U","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188088","143A","146","[]","314.63675","242.69845833333366"
