"itemId","globalId","x","y"
"798","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187125","317.3003366666667","271.3039166666672"
"799","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189010","364.3360833333335","250.77004166666717"
"801","M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:228138","332.44745666666665","268.9601250000005"
"805","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185431","336.61579166666667","290.0311250000005"
"806","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184323","300.0","280.54476166666717"
"810","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186847","373.65960333333334","290.52854166666697"
"811","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188088","314.63675","242.69845833333366"
"813","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186387","374.8707516666668","293.2375833333338"
"815","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187872","330.55104166666683","245.729291666667"
"816","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184835","349.1253333333335","263.89558333333383"
"817","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185638","322.227125","292.57083333333367"
"818","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187210","319.36533666666685","271.3039166666672"
"821","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187480","321.009625","284.32891666666694"
"826","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188819","357.3633433333333","255.13020833333383"
"827","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:186079","344.49579166666666","292.5708333333338"
"828","M_Double-Flush:1830 x 2134mm:1830 x 2134mm:183872","383.71883333333335","284.535454175657"
"831","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185726","332.95661166666684","292.57083333333367"
"832","M_Toilet Partition:0915 x 1525mm:0915 x 1525mm:227982","332.40579","271.4309583333338"
"833","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189037","365.5780447678163","249.9258750000005"
"834","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184864","346.55079166666667","263.89558333333383"
"835","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188197","311.86666","245.52262500000035"
"836","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186334","372.6424183333335","293.2375833333338"
"839","M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:228197","332.44745666666665","267.40535416666717"
"841","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:188415","308.006455","260.588410000001"
"842","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185749","340.21995833333335","292.5708333333338"
"843","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184701","352.4379166666668","263.89558333333383"
"844","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:200566","343.16245833333335","300.0"
"845","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184606","357.9782916666667","263.89558333333383"
"846","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187590","305.65708333333333","261.51757666666765"
"847","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186000","346.9528333333335","290.0311250000005"
"848","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186459","344.8204166666668","277.29133333333385"
"849","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185522","334.3874583333333","290.0311250000005"
"850","M_Double-Flush:1830 x 2134mm:1830 x 2134mm:183972","383.71883333333335","275.9078750000005"
"854","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185292","341.4707916666667","277.6728750000005"
"855","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188878","363.20025000000015","260.58841000000115"
"858","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188460","351.51625","260.58841000000115"
"859","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185681","328.04406","292.57083333333367"
"861","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187947","309.6383266666667","245.729291666667"
"895","AP_124_to_142","340.52812500000016","274.50429166666686"
"896","AP_124_to_125","338.7714583333335","276.6209583333335"
"897","AP_124_to_123","338.7714583333335","272.3876250000002"
"898","AP_124_to_135","337.01479166666684","274.50429166666686"
"899","AP_118_to_108","378.2164583333335","278.6326250000002"
"900","AP_118_to_110","360.5964583333335","278.11012500000015"
"788","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187783","331.7285416666667","247.57345833333383"
