"itemId","globalId","name","firstPartition","secondPartition","accessRule","x","y"
"476","3If4otxpvBjO9DSa$bK$uj","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:207624","143A","143","[]","330.67520833333333","254.92620833333382"
"514","2N3oFtM8X6lO2dN1$77xaz","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186459","142","114","[]","344.8204166666668","277.29133333333385"
"543","2N3oFtM8X6lO2dN1$77u3r","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188819","152","151","[]","357.3633433333333","255.13020833333383"
"553","2N3oFtM8X6lO2dN1$77xGt","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185681","130","141","[]","328.04406","292.57083333333367"
"554","2N3oFtM8X6lO2dN1$77xWY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186692","113","110","[]","371.3646033333335","290.52854166666697"
"557","2N3oFtM8X6lO2dN1$77xcM","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186608","114","112","[]","350.60587000000015","278.4688333333338"
"563","2N3oFtM8X6lO2dN1$77xm_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187736","149","143","[]","331.7285416666667","252.3623750000005"
"564","2N3oFtM8X6lO2dN1$77xCp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184917","121","135","[]","332.35320666666684","265.03141666666716"
"565","2N3oFtM8X6lO2dN1$77xQu","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186334","105","113","[]","372.6424183333335","293.2375833333338"
"568","2N3oFtM8X6lO2dN1$77u67","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188641","150","151","[]","351.5162500000002","253.91020833333383"
"569","2N3oFtM8X6lO2dN1$77xAg","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185292","142","125","[]","341.4707916666667","277.6728750000005"
"571","2N3oFtM8X6lO2dN1$77xRk","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186248","113","103","[]","359.4344183333333","293.23758333333365"
"572","2N3oFtM8X6lO2dN1$77xF_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184984","136","121","[]","326.99279500000017","265.03141666666716"
"574","2N3oFtM8X6lO2dN1$77uF4","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189090","156","151","[]","358.29251","243.5437300000005"
"576","2N3oFtM8X6lO2dN1$77xpX","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187783","148","143","[]","331.7285416666667","247.57345833333383"
"577","2N3oFtM8X6lO2dN1$77xOj","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186187","102","113","[]","353.08554","293.23758333333365"
"477","1h7qyFpbf0qggP_pQnt_7r","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190047","S202","203","[]","378.5650833333335","261.99358333333385"
"480","1h7qyFpbf0qggP_pQnt_sR","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191025","229","235","[]","334.358005","293.6982500000005"
"481","1h7qyFpbf0qggP_pQnt_0z","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190359","223","225","[]","356.14463","281.58617666666714"
"491","1h7qyFpbf0qggP_pQnt_$4","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190574","202","226","[]","344.291005","286.25475000000046"
"494","1h7qyFpbf0qggP_pQnt_Ac","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189708","213","203","[]","342.8051516666668","259.159541666667"
"495","1h7qyFpbf0qggP_pQnt_DD","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189671","211","203","[]","340.74015166666686","259.159541666667"
"497","1h7qyFpbf0qggP_pQnt_yp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190617","202","230","[]","341.2432966666668","285.9861200000005"
"500","1h7qyFpbf0qggP_pQnt_3s","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190300","223","222","[]","358.68462999999986","283.2400800000003"
"506","1h7qyFpbf0qggP_pQnt_zc","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190668","202","231","[]","341.2432966666668","283.9211200000005"
"509","1h7qyFpbf0qggP_pQnt_Gm","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189338","201","S201","[]","305.65708333333333","261.4383750000005"
"511","1h7qyFpbf0qggP_pQnt_8l","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189829","218","203","[]","374.28222500000015","263.9323333333338"
"518","1h7qyFpbf0qggP_pQnt_zR","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190705","202","224","[]","344.29100500000015","272.8231033333337"
"520","1h7qyFpbf0qggP_pQnt_6x","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189969","217","203","[]","370.77791666666684","263.9323333333338"
"522","1h7qyFpbf0qggP_pQnt_vQ","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190960","209","201","[]","335.0753300000002","268.6792500000003"
"531","1h7qyFpbf0qggP_pQnt_qr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191135","237","234","[]","322.4418800000002","283.113041666667"
"533","1h7qyFpbf0qggP_pQnt_Ct","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189597","208","203","[]","328.55075000000016","259.159541666667"
"539","1h7qyFpbf0qggP_pQnt_4u","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190098","223","220","[]","358.68462999999986","276.5934133333337"
"541","1h7qyFpbf0qggP_pQnt_rV","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191221","207","201","[]","323.3710466666668","268.6792500000003"
"544","1h7qyFpbf0qggP_pQnt_ro","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191192","237","233","[]","322.2352133333335","281.0480416666672"
"546","1h7qyFpbf0qggP_pQnt_qY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191112","236","229","[]","323.3710466666668","293.6982500000005"
"549","1h7qyFpbf0qggP_pQnt_1e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190402","223","227","[]","356.14463","283.65117666666714"
"505","1h7qyFpbf0qggP_pQnt_1D","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190439","202","228","[]","344.291005","292.5624166666671"
"552","1h7qyFpbf0qggP_pQnt_pi","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191302","205","237","[]","321.3060466666668","277.40251333333384"
"555","1h7qyFpbf0qggP_pQnt_Di","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189638","210","203","[]","330.61575000000016","259.159541666667"
"556","1h7qyFpbf0qggP_pQnt_kO","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191538","202","232","[]","341.2432966666668","277.75758333333386"
"558","1h7qyFpbf0qggP_pQnt_B8","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189794","216","203","[]","354.99975","259.15954166666717"
"560","1h7qyFpbf0qggP_pQnt_FG","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189562","206","203","[]","319.8630833333335","259.159541666667"
"561","1h7qyFpbf0qggP_pQnt_ws","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190748","202","212","[]","344.29100500000015","269.8150833333337"
"566","1h7qyFpbf0qggP_pQnt_AF","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189733","214","203","[]","352.93475","259.15954166666717"
"567","06njXbG3HC4RydTXssDq$e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:214056","215","201","[]","353.42713","268.885916666667"
"570","1h7qyFpbf0qggP_pQnt_Ft","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189533","204","203","[]","317.7980833333335","259.159541666667"
"575","1h7qyFpbf0qggP_pQnt_66","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189996","219","203","[]","377.5356666666668","263.9323333333338"
